"","X","SBL","STORIES","GROSS_SQ_FT","OVER_COND","BUILD_AGE","CLASS","CLASSDSCRP","CURRENT_LAND_VALUE","STRUCTURE_VALUE","CrowdednessRate","DisabledRate","HSCompletedRate","BothParentsRate","UnemploymentRate","YoungUnemploymentRate","MalePopRate","PovertyRate","NonWhiteRate","ChildrenRate","ElderlyRate","VacancyRate","OwnerOccupiedRate","MedianIncome","FIRE"
"26",27,"04755000010010030000",2,10.436172510655,"FAIR",14,"Rec and ent","MARINA",13.9377281906885,15.077799439113,0.00153204368371585,0.289499673978842,0.881885558404019,0.261097834303781,0.0682255835733877,0.106213288734167,0.44634746261712,0.206711756399464,0.165858612422661,0.0426661270286086,0.239179421500634,0.0712248149975785,0.494015252700568,27760.6514897343,"NO"
"27",28,"04755000010040010000",2,8.64822145382264,"FAIR",63,"Rec and ent","MARINA",12.8346813049525,12.9360337992128,0.00188715922890296,0.281549449365973,0.884074112099054,0.267408805502328,0.0686975027390601,0.126459249707225,0.445049979391084,0.200324499750425,0.164919888372395,0.043273505744696,0.23567676633048,0.0698300574849311,0.502915435803377,28179.8825251527,"NO"
"28",29,"04755000010060010000",1,7.91059061225648,"NORMAL",67,"Green","MUNICIPAL PUBLIC PARK",9.61580548008435,11.0821425488778,0.00105367413078103,0.30020927384101,0.878937398384395,0.252596442258995,0.0675898700334886,0.0789403308738877,0.448095278163894,0.215315911157237,0.167123150149441,0.0418479384451611,0.243897783201608,0.0731036669285072,0.482025981406669,27195.9131511638,"NO"
"29",30,"04756000020020000000",1,7.49443021503157,"NORMAL",107,"Commercial","BAR",11.0186291431554,11.2104681069363,0.00211188065333341,0.276518450797312,0.885459055423716,0.271402464626796,0.0689961389113236,0.139271139387898,0.444228916267599,0.196282566267568,0.164325852406969,0.0436578623635423,0.233460243652739,0.068947438012973,0.508547579627161,28445.1770095016,"NO"
"30",31,"04756000020060000000",1,7.00669522683704,"FAIR",32,"Community services","POLICE/FIRE PROTECTION",10.7872550927047,11.5129254649702,0.00208117497212315,0.277205880750242,0.8852698183346,0.270856775561994,0.0689553336025881,0.137520537275826,0.444341105403936,0.196834851486088,0.164407020809261,0.04360534430996,0.233763106803907,0.0690680381391274,0.507778009866638,28408.9274712838,"NO"
"31",32,"04761000010280010000",1,8.29404964010203,"NORMAL",77,"Commercial","1 OCCUPANT SM STRUCTURE",10.5966347330961,10.2399597891573,0.00181016251861153,0.283273229554043,0.883599586449311,0.266040450814346,0.0685951804843103,0.122069488648489,0.445331301742124,0.201709394769605,0.165123423995438,0.0431418129374574,0.236436217526132,0.0701324709995846,0.500985684123409,28088.9841935624,"NO"
"32",33,"04761000010290000000",2,9.21413317021488,"POOR",19,"Commercial","APARTMENT",11.4845259904485,12.2199755506992,0.00190161277580488,0.281225867518093,0.884163188355803,0.267665668147321,0.0687167103065333,0.127283279943199,0.444997170566136,0.200064532213654,0.164881681393646,0.0432982266471718,0.235534204869938,0.0697732895022307,0.503277681882592,28196.9456346541,"NO"
"33",34,"04762000010160000000",1,8.28526113406895,"GOOD",77,"Commercial","AUTO BODY OR TIRE SHOP",10.7144177687525,10.8967393255464,0.000859133207758236,0.304564600031,0.877738455500347,0.24913913891428,0.0673313412494735,0.0678491015865104,0.448806070996876,0.218815005525051,0.167637405990048,0.0415152016285011,0.245816622799219,0.0738677489789294,0.477150244877083,26966.2482049359,"YES"
"34",35,"04762000010180000000",2,8.22067217029725,"NORMAL",117,"Community services","RELIGIOUS",11.0867473152645,10.454494965935,0.000805279603966153,0.305770259012034,0.877406559290318,0.248182074243144,0.0672597742676433,0.0647787827130896,0.449002835538808,0.219783638955938,0.16777976436821,0.0414230920794509,0.246347803724161,0.0740792652571948,0.475800523804628,26902.6714272229,"YES"
"35",36,"04762000010220000000",1,8.50592999913753,"NORMAL",44,"Industrial","MANUFACTURING",11.6369114447512,12.5274312443413,0.00114026198344628,0.298270769918091,0.87947103361232,0.25413524688673,0.0677049381225682,0.0838769052073996,0.447778912721901,0.213758505841819,0.166894260986859,0.0419960356475882,0.243043730502646,0.0727635830891888,0.484196113786522,27298.134289099,"NO"
"36",37,"04762000010230000000",2,8.34283980427146,"NORMAL",177,"Commercial","OFFICE BUILDING",10.4716382429214,11.2104681069363,0.00120658203063026,0.296786015790611,0.87987975969116,0.255313860195375,0.0677930719757847,0.0876579649363134,0.447536599621454,0.212565645748585,0.166718948404377,0.0421094674183327,0.242389587761495,0.0725031034078495,0.485858278598298,27376.428304742,"NO"
"37",38,"04762000010250000000",1,8.10470346837111,"NORMAL",71,"Industrial","MANUFACTURING",10.4042628404486,10.8589989975636,0.00111631316421253,0.298806929189916,0.879323438618139,0.253709638065962,0.0676731121241156,0.0825115274701284,0.447866414358087,0.214189259316175,0.166957568079142,0.0419550743230978,0.24327994785963,0.0728576448558392,0.48359588977728,27269.8615524631,"NO"
"38",39,"04762000010260000000",1,8.09803475617607,"NORMAL",62,"Industrial","MANUFACTURING",10.4042628404486,10.8356516335666,0.00107294900493558,0.299777753506318,0.87905618816317,0.252938987600346,0.0676154847458061,0.0800392361603015,0.44802485368871,0.214969225212981,0.167072198316496,0.0418809055976145,0.243707666946416,0.0730279626235373,0.482509063354458,27218.6680701159,"NO"
"39",40,"04762000010290000000",2,10.0864755538732,"NORMAL",87,"Community services","SCHOOL",10.7726866768764,13.5832001188252,0.000927205298791026,0.303040621650124,0.878157979309929,0.250348888844283,0.0674218034239436,0.0717300493993644,0.448557356465864,0.217590632438725,0.167457461997535,0.0416316300412058,0.245145198906825,0.0736003879420602,0.478856320779967,27046.6105928785,"NO"
"40",41,"04762000010300000000",2,7.15148546390474,"NORMAL",107,"Commercial","CONVERTED RESIDENCE",8.99961934066053,11.1885794081469,0.000864428167092328,0.304446058005475,0.877771087985668,0.249233238810238,0.0673383778121503,0.068150979500572,0.44878672484036,0.218719768172952,0.167623409121312,0.0415242579642365,0.245764396370557,0.0738469524116981,0.477282951282742,26972.4991599116,"NO"
"41",42,"04762000010310000000",1,9.74741836688624,"NORMAL",67,"Commercial","NEIGHBORHD SHOPPING CTR",11.8886184147447,12.0100577616042,0.000779851202520722,0.306339542744547,0.877249845728503,0.247730170880078,0.0672259820269004,0.0633290505618254,0.449095743114349,0.220241004814482,0.167846982636518,0.0413796001230119,0.246598614827754,0.0741791382546777,0.475163217350592,26872.6519723962,"NO"
"42",43,"04762000010320000000",2,7.56008046502183,"FAIR",87,"Commercial","DETACHED ROW BUILDING",9.74096862303835,11.5228757958234,0.000716807309995479,0.307750951264501,0.876861310374854,0.246609780079497,0.0671422019120491,0.0597347720095214,0.449326086151043,0.221374938620452,0.168013634924592,0.0412717717865223,0.24722044346661,0.0744267504584177,0.47358316208522,26798.2256154024,"NO"
"43",44,"04762000010350010000",1,8.6438258423496,"NORMAL",57,"Community services","RELIGIOUS",12.2830336866663,13.5278284855125,0.00082816595867544,0.305257885890174,0.877547606385675,0.24858880137004,0.0672901883386861,0.0660835868832806,0.44891921582195,0.219371995412673,0.167719265829412,0.0414622361972673,0.246122065905203,0.0739893764432566,0.47637411949828,26929.6898732239,"NO"
