SBL,Latitute,Longtitute,X,PROB,RiskLevel
10729000010390000000,-77.57627087,43.17605036,3108,0.0606040788070413,Low
10729000010400000000,-77.57643268,43.17604407,3109,0.875067817010611,High
10729000010410000000,-77.57658539,43.1760384,3110,0.112114660269977,Mid
10729000020010000000,-77.57492684,43.1755715,3111,0.00092217963863113405,Low
10729000020060000000,-77.57422717,43.1756358,3112,9.99935110255455e-5,Low
10729000020070000000,-77.5736927,43.17560247,3113,3.67301994147867e-5,Low
10729000030110000000,-77.57662858,43.17565788,3114,0.966741392528784,High
10729000030120000000,-77.57603816,43.17560662,3116,0.133770917432166,Mid
10729000030130000000,-77.57575825,43.17557016,3117,0.0119686413361253,Low
10729000030140000000,-77.57550633,43.17557864,3118,3.55246199809422e-4,Low
10729000030150000000,-77.57532214,43.17561443,3119,0.0242490486508912,Low
10730000010260000000,-77.56990547,43.17628107,3120,0.0752504387988144,Low
10730000010270000000,-77.5696796,43.17628758,3121,0.0861338468016983,Low
10730000020070000000,-77.5677756,43.17589953,3122,0.0404566823133004,Low
10730000030040000000,-77.57184364,43.1757265,3123,0.190196069011097,Mid
10730000030090000000,-77.57099484,43.17571972,3124,0.00753797496495501,Low
10730000030150000000,-77.56971824,43.17579994,3125,0.0114666657502441,Low
10731000020050000000,-77.56364394,43.1759914,3126,0.813955949729894,High
10731000020060000000,-77.56325057,43.17597171,3127,0.0624611412496307,Low
10731000020070000000,-77.56307949,43.17598021,3128,0.0213784656556967,Low
10731000020080000000,-77.5627705,43.17599868,3129,0.0018820370225494,Low
10731000030010000000,-77.56222598,43.17600399,3130,5.8361078605436e-4,Low
10731000030020000000,-77.56205662,43.1760114,3131,4.48587642246762e-4,Low
10731000030030000000,-77.56190613,43.17601562,3132,9.28859369678365e-4,Low
10731000030050000000,-77.56159266,43.17605159,3133,0.00662445333528633,Low
10732000010020000000,-77.56102689,43.17604141,3134,0.00214252221810623,Low
10732000010060000000,-77.56013967,43.17611383,3136,6.81829976837138e-4,Low
10732000010070000000,-77.55995616,43.17609232,3137,4.15115980727914e-4,Low
10732000020050000000,-77.55711376,43.17592136,3139,0.0499750613748131,Low
10737000020240000000,-77.57542169,43.17151185,3140,4.65733679800795e-5,Low
10737000020250000000,-77.57547236,43.17132315,3141,2.09838402341512e-4,Low
10737000020750000000,-77.57705083,43.171386,3142,3.32894681289946e-5,Low
