SBL,Latitute,Longtitute,X,PROB,RiskLevel
12133000010640000000,-77.59711368,43.15351129,39028,0.152702981939942,High
12133000010650000000,-77.5970086,43.15348283,39029,0.0111417483444425,Low
12133000010660000000,-77.596903029999993,43.1534541,39030,0.0372137769891677,Low
12133000010670000000,-77.59679648,43.15342513,39031,0.312539654570206,High
12133000010680000000,-77.59669068,43.15339717,39032,0.0761723059161914,Mid
12133000010710000000,-77.5963767,43.15331072,39033,0.0357079160399551,Low
12133000010810000000,-77.5969163,43.1538972,39035,0.00667063596902686,Low
12133000010820000000,-77.59702156,43.15392615,39036,0.0137696996777273,Low
12134000010120000000,-77.5936459,43.15187062,39037,0.00187112853955106,Low
12134000010130000000,-77.59380055,43.1519182,39038,0.010375773386696,Low
12134000010140000000,-77.59392684,43.15201087,39039,0.0562444678846861,Mid
12134000010200000000,-77.59475613,43.15218066,39040,0.0372024311294933,Low
12134000010260000000,-77.59472668,43.15256983,39041,0.0202974980794223,Low
12134000020060000000,-77.59046546,43.15285566,39042,0.0066323430669504,Low
12134000020070000000,-77.59057161,43.15266415,39043,0.00613181658948894,Low
12134000020080000000,-77.59067599,43.15247317,39044,0.0103879216734423,Low
12134000020090000000,-77.59081574,43.15229741,39045,0.00482799385110053,Low
12134000020120000000,-77.59143083,43.15216026,39046,0.0286038280124327,Low
12134000020170000000,-77.59114312,43.15267739,39047,0.647899484796476,High
12134000020190000000,-77.59100103,43.15293298,39048,0.085078487757597,Mid
12134000020270000000,-77.5918308,43.15295763,39049,0.152775279773546,High
12134000020310000000,-77.59212824,43.15241997,39050,0.0441909391377803,Low
12134000020320000000,-77.59218102,43.15232356,39051,0.0766257062674614,Mid
12134000020350000000,-77.59234628,43.15202678,39053,0.0439402728560435,Low
12134000020370000000,-77.59270031,43.15243218,39054,0.0162825684476469,Low
12134000020380000000,-77.59261083,43.15259692,39055,0.00310902387804107,Low
12134000020400000000,-77.59246722,43.15286123,39056,0.00582151762013337,Low
12134000020410000000,-77.5924006,43.15298879,39057,0.00233101585409686,Low
12134000020450000000,-77.59178842,43.1539789,39060,0.0750816255087364,Mid
12135000010040000000,-77.58829574,43.15426069,39061,0.208117501765952,High
12135000010150000000,-77.58613313,43.15405919,39062,0.00805634303973434,Low
12135000010160000000,-77.58605484,43.15418164,39063,0.00483278951273499,Low
12135000010170000000,-77.58600296,43.15428554,39064,0.0115073472330971,Low
12135000010180000000,-77.58594689,43.15438596,39065,0.00948018340904984,Low
12135000010190000000,-77.58589933,43.15448926,39066,0.00506505318974303,Low
12135000010200000000,-77.58585565,43.15459728,39067,0.00913503872777781,Low
12135000010220000000,-77.58536765,43.15455833,39068,0.0439674954723039,Low
12135000010230000000,-77.58542161,43.1544568,39069,0.0122277052564692,Low
12135000010240000000,-77.58545303,43.15434969,39070,0.0185848437030024,Low
12135000010250000000,-77.58550124,43.15424501,39071,0.00763771774112741,Low
12135000010260000000,-77.58555096,43.15414107,39072,0.00401754989223014,Low
12135000010270000000,-77.58560107,43.1540365,39073,0.0050006519472995,Low
12135000010280000000,-77.58565473,43.15393406,39074,0.0107079361388426,Low
12135000010290000000,-77.58496364,43.15382581,39075,0.0242778798834892,Low
12135000010300000000,-77.58492296,43.15393199,39076,0.0178325043393773,Low
12135000010310000000,-77.58486343,43.1540335,39077,0.0742621126236813,Mid
12135000010320000000,-77.58481479,43.15413668,39078,0.00974804531584419,Low
12135000010330000000,-77.584766,43.15423969,39079,0.0244801484335573,Low
12135000010340000000,-77.58471737,43.15434267,39080,0.00720813944754805,Low
12135000010350000000,-77.58466815,43.15444628,39081,0.0475650979336319,Low
12135000010360000000,-77.58463544,43.15455409,39082,0.0363357212228564,Low
12135000010370000000,-77.58456848,43.15465554,39083,0.0163964588623501,Low
12135000010380000000,-77.58431444,43.15459723,39084,0.0447758487500976,Low
12135000010390000000,-77.58438263,43.15449637,39085,0.00728266183982001,Low
12135000010410000000,-77.58446692,43.15427932,39086,0.0189493292481516,Low
12135000010420000000,-77.584515390000007,43.15417637,39087,0.0175138062840493,Low
12135000010430000000,-77.58456402,43.15407337,39088,0.0306867330270956,Low
12135000010440000000,-77.5846126,43.15397001,39089,0.0214989101381593,Low
12135000010450000000,-77.5846722,43.15386795,39090,0.163486724328555,High
12135000010460000000,-77.5847132,43.15376108,39091,0.0244552302717366,Low
12135000010480000000,-77.58491075,43.15347003,39092,0.00523205858751592,Low
12135000010620000000,-77.58937376,43.15208389,39093,0.00498173361567484,Low
12135000010630000000,-77.58992985,43.15224343,39094,7.12534735176774e-4,Low
1213500001068000UN0A,-77.58878982,43.15450894,39095,0.00543860417188551,Low
1213500001068000UN0B,-77.58878982,43.15450894,39096,0.00703129264486916,Low
1213500001068000UN0C,-77.58878982,43.15450894,39097,0.00515486299581354,Low
12136000010010000000,-77.5836206,43.15457786,39098,0.00765326876507366,Low
12136000010030000000,-77.58310347,43.15441522,39099,0.00132330208786537,Low
12136000010070000000,-77.58342762,43.15373223,39100,0.0107956726550296,Low
12136000010080000000,-77.583485,43.15361723,39101,0.0210321599053146,Low
12136000010100000000,-77.58360656,43.15335747,39102,0.00901903554730079,Low
12136000010110000000,-77.58307592,43.15287645,39103,0.00713173760519321,Low
12136000010120000000,-77.58291095,43.15301655,39104,0.00425484375394606,Low
12136000010130000000,-77.58285016,43.15314649,39105,0.00457524952024534,Low
12136000010160000000,-77.58266565,43.15353529,39106,0.00216178371313987,Low
12136000010170000000,-77.58261021,43.15365154,39107,0.00946996832488983,Low
12136000010190000000,-77.58247896,43.15392777,39108,0.00134219999769309,Low
12136000010210000000,-77.58225768,43.15444589,39109,7.48250429534553e-4,Low
12136000010220000000,-77.58226462,43.15464937,39110,0.0050295796310318,Low
12136000010270000000,-77.58159793,43.15444626,39112,0.0315284528851935,Low
12136000010350000000,-77.58218071,43.15330215,39113,0.0142418490969441,Low
12136000010360000000,-77.58225706,43.15314704,39114,5.47452063927166e-4,Low
12136000010370000000,-77.58232136,43.15300731,39115,5.49478209220136e-4,Low
12136000010380000000,-77.58237471,43.15285959,39116,0.00346535379318543,Low
12136000010390000000,-77.58168127,43.15242697,39117,0.00629536007828021,Low
12136000010410000000,-77.58146946,43.15265357,39118,0.00144908226186566,Low
12136000010420000000,-77.58140681,43.15278248,39119,0.00536565233944894,Low
12136000010430000000,-77.58134814,43.15291353,39120,0.00220443181646754,Low
12136000010440000000,-77.58128281,43.15304205,39121,0.00198497694553745,Low
12136000010480000000,-77.58092377,43.15380554,39122,0.004545295242232,Low
